representation,bootstrap_id,ari,nmi,nn_accuracy,silhouette
stack,0,0.3076923076923077,0.5644105252727686,0.2222222222222222,0.09989037364721298
stack,1,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.0975414291024208
stack,2,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11333247274160385
stack,3,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.10983720421791077
stack,4,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.11067987978458405
stack,5,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.12200853228569031
stack,6,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.11031869053840637
stack,7,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10613621771335602
stack,8,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.11096388846635818
stack,9,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09236148744821548
stack,10,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10717982798814774
stack,11,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.10268023610115051
stack,12,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.08490193635225296
stack,13,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.09922359138727188
stack,14,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.09853591024875641
stack,15,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.0817815512418747
stack,16,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.0991605669260025
stack,17,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10387232154607773
stack,18,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.10630764067173004
stack,19,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09359344840049744
stack,20,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.11329232156276703
stack,21,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11066706478595734
stack,22,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.09219301491975784
stack,23,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.1059984341263771
stack,24,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.1026063859462738
stack,25,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10351979732513428
stack,26,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.1118645966053009
stack,27,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.10392843931913376
stack,28,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.10124392062425613
stack,29,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.10309049487113953
stack,30,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.09355992078781128
stack,31,0.34782608695652173,0.6682882862414578,0.1111111111111111,0.1038050726056099
stack,32,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10321954637765884
stack,33,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.11792091280221939
stack,34,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.1195983737707138
stack,35,0.21739130434782608,0.49645559315504395,0.5555555555555556,0.09707345068454742
stack,36,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.10292556881904602
stack,37,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10346170514822006
stack,38,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.103269062936306
stack,39,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.12166951596736908
stack,40,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09797361493110657
stack,41,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.10366983711719513
stack,42,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10272344946861267
stack,43,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.09241383522748947
stack,44,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09554698318243027
stack,45,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.09373252093791962
stack,46,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10019709169864655
stack,47,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.12361587584018707
stack,48,0.21739130434782608,0.49645559315504395,0.1111111111111111,0.09453735500574112
stack,49,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.11175034940242767
stack,50,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09767697006464005
stack,51,0.16923076923076924,0.5096070168485124,0.2222222222222222,0.09869449585676193
stack,52,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09374009817838669
stack,53,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.09959561377763748
stack,54,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10702285170555115
stack,55,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.09943780303001404
stack,56,0.3076923076923077,0.5644105252727686,0.2222222222222222,0.09917575120925903
stack,57,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09830404072999954
stack,58,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10135512799024582
stack,59,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10833630710840225
stack,60,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.10916925221681595
stack,61,0.3076923076923077,0.5644105252727686,0.1111111111111111,0.10320552438497543
stack,62,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10951238870620728
stack,63,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.1108342856168747
stack,64,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.0905795618891716
stack,65,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09848054498434067
stack,66,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09657840430736542
stack,67,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.10045907646417618
stack,68,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.0871298685669899
stack,69,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09684064239263535
stack,70,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09394984692335129
stack,71,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.1016952320933342
stack,72,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09734460711479187
stack,73,0.21739130434782608,0.49645559315504395,0.5555555555555556,0.10509038716554642
stack,74,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.102076955139637
stack,75,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10615745931863785
stack,76,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10281093418598175
stack,77,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10886777192354202
stack,78,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.08097777515649796
stack,79,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.09169530868530273
stack,80,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.08953824639320374
stack,81,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.09074467420578003
stack,82,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10229804366827011
stack,83,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.1088118702173233
stack,84,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.11871727555990219
stack,85,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.11696967482566833
stack,86,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09570461511611938
stack,87,0.3076923076923077,0.5644105252727686,0.2222222222222222,0.09079574048519135
stack,88,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.09267952293157578
stack,89,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10420282185077667
stack,90,0.3076923076923077,0.5644105252727686,0.4444444444444444,0.09757671505212784
stack,91,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.10655263066291809
stack,92,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11036580055952072
stack,93,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.1109970435500145
stack,94,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.09443718194961548
stack,95,0.3076923076923077,0.5644105252727686,0.4444444444444444,0.10491211712360382
stack,96,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09142199158668518
stack,97,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.09374634176492691
stack,98,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.11155650019645691
stack,99,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.10473817586898804
stack,100,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.0853237435221672
stack,101,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10209420323371887
stack,102,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.0905962735414505
stack,103,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10365626960992813
stack,104,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.07812719792127609
stack,105,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.08232312649488449
stack,106,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.11255882680416107
stack,107,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10423905402421951
stack,108,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.1087203323841095
stack,109,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.11871647834777832
stack,110,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.10647159069776535
stack,111,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.1165831983089447
stack,112,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.1081220731139183
stack,113,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.11936134845018387
stack,114,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.08868836611509323
stack,115,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.10384302586317062
stack,116,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09648019820451736
stack,117,0.3076923076923077,0.5644105252727687,0.5555555555555556,0.09516695141792297
stack,118,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09420771896839142
stack,119,0.03076923076923077,0.36441052527276874,0.4444444444444444,0.09822994470596313
stack,120,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10108090937137604
stack,121,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.08647987991571426
stack,122,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11353614926338196
stack,123,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.10351982712745667
stack,124,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.10932644456624985
stack,125,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.11376401036977768
stack,126,0.3076923076923077,0.5644105252727687,0.5555555555555556,0.11316222697496414
stack,127,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.08641444891691208
stack,128,0.21739130434782608,0.49645559315504395,0.5555555555555556,0.10757555812597275
stack,129,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10302416235208511
stack,130,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.09936318546533585
stack,131,0.3076923076923077,0.5644105252727686,0.5555555555555556,0.10659132897853851
stack,132,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10189078748226166
stack,133,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.10109822452068329
stack,134,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.10274514555931091
stack,135,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11260872334241867
stack,136,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09571914374828339
stack,137,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.0899212434887886
stack,138,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.09058836102485657
stack,139,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10547510534524918
stack,140,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.10526928305625916
stack,141,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09073939174413681
stack,142,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.10940131545066833
stack,143,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11143729090690613
stack,144,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.11157651990652084
stack,145,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.09952124208211899
stack,146,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09631133079528809
stack,147,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.11166376620531082
stack,148,0.21739130434782608,0.49645559315504395,0.4444444444444444,0.09739869832992554
stack,149,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.10426609218120575
stack,150,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.11241079866886139
stack,151,0.16923076923076924,0.5096070168485124,0.2222222222222222,0.09245827049016953
stack,152,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10088683664798737
stack,153,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.09940951317548752
stack,154,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.12186463922262192
stack,155,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.09932366758584976
stack,156,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09379549324512482
stack,157,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10576104372739792
stack,158,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.09637530148029327
stack,159,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.0988767221570015
stack,160,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.11164245009422302
stack,161,0.21739130434782608,0.49645559315504395,0.1111111111111111,0.08860840648412704
stack,162,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.08780016005039215
stack,163,0.3076923076923077,0.5644105252727686,0.2222222222222222,0.10061149299144745
stack,164,0.21739130434782608,0.49645559315504395,0.5555555555555556,0.11154385656118393
stack,165,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10238368064165115
stack,166,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.11594021320343018
stack,167,0.21739130434782608,0.49645559315504395,0.2222222222222222,0.1005377322435379
stack,168,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10532716661691666
stack,169,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.09308797121047974
stack,170,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.11000024527311325
stack,171,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.10378309339284897
stack,172,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.1170867383480072
stack,173,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.1092616617679596
stack,174,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.12377997487783432
stack,175,0.3076923076923077,0.5644105252727686,0.4444444444444444,0.09870821237564087
stack,176,0.3076923076923077,0.5644105252727687,0.2222222222222222,0.10234209895133972
stack,177,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.08559462428092957
stack,178,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.11086142808198929
stack,179,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.1021575927734375
stack,180,0.16923076923076924,0.5096070168485125,0.3333333333333333,0.09873805940151215
stack,181,0.16923076923076924,0.5096070168485125,0.2222222222222222,0.10891510546207428
stack,182,0.16923076923076924,0.5096070168485125,0.4444444444444444,0.08879831433296204
stack,183,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.09010504931211472
stack,184,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.10361120104789734
stack,185,0.3076923076923077,0.5644105252727687,0.4444444444444444,0.10899270325899124
stack,186,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.11471809446811676
stack,187,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.09017589688301086
stack,188,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.12129827588796616
stack,189,0.3076923076923077,0.5644105252727686,0.3333333333333333,0.11922688037157059
stack,190,0.21739130434782608,0.49645559315504395,0.3333333333333333,0.10304328799247742
stack,191,0.3076923076923077,0.5644105252727687,0.3333333333333333,0.10430034250020981
